桌面,com.meizu.flyme.launcher,false,7.1.166,77263,0,0
Logreport,com.meizu.logreport,false,3.5.3,26750,0,0
魅族游戏框架,com.meizu.gamecenter.service,false,4.8.2,168369,0,0
游戏中心,com.meizu.flyme.gamecenter,false,7.3.4,303266,95,15.0
手机管家,com.meizu.safe,false,flyme7_dev_5.1.90_beta,298084,0,0
计算器,com.meizu.flyme.calculator,false,7.2.0,1148708,0,0
图库,com.meizu.media.gallery,false,7.7.12,344922,0,0
相机,com.meizu.media.camera,false,7.4.6,129569,6,1.0
信息海外版,com.android.mms,true,6.4.2-2018090315,2324007,0,0
免流量快传,com.meizu.share,false,3.0.12,44535,0,0
换机助手,com.meizu.datamigration,false,2.1.9,74710,33,11.0
便签,com.meizu.notepaper,false,7.2.17,108547,0,0
电量管理,com.meizu.battery,false,7.3.103,47174,0,0
相机,com.meizu.media.camera,false,8.0.65,143123,61,15.4
电量管理,com.meizu.battery,false,7.0.7,52657,4,0
系统更新,com.meizu.flyme.update,false,7.3.15,137503,0,0
邮件,com.android.email,false,3.2.18,169249,27,4.0
邮件,com.android.email,false,3.2.17,169214,0,0
资讯,com.meizu.media.reader,false,4.8.2,487818,56,1.0
应用商店,com.meizu.mstore,false,7.5.0,203319,0,0
魅族商城,com.flyme.meizu.store,false,3.2.19,103720,0,0
魅族商城,com.flyme.meizu.store,false,3.2.18,105298,0,0
电话设置,com.meizu.callsetting,false,6.2.10,37136,3,0
电量管理,com.meizu.battery,false,7.3.102,47171,3,0
应用沙盒,com.meizu.pps,false,7.3.14,24419,0,0
魅族输入法,com.meizu.flyme.input,false,7.3.61,72699,0,0
魅族输入法,com.meizu.flyme.input,false,7.3.60,72699,9,3.0
图库,com.meizu.media.gallery,false,7.7.11,344911,0,0
邮件海外版,com.android.email,true,2.11.15-2018083015,161344,0,0
邮件,com.android.email,false,2.11.15,161279,0,0
Flyme账号海外版,com.meizu.account,true,7.1.2-2018083014,123131,0,0
Flyme账号,com.meizu.account,false,7.1.2,123130,9,1.0
便签海外版,com.meizu.notepaper,true,7.2.17-2018083011,108548,0,0
魅族服务,com.meizu.mcare,false,2.2.14,143753,0,0
便签海外版,com.meizu.notepaper,true,7.2.17-2018083010,108545,0,0
Flyme云服务,com.meizu.mzsyncservice,false,7.8.2,76759,2,2.0
MeizuPay,com.meizu.mznfcpay,false,4.1.1,88897,22,10.0
全局搜索海外版,com.meizu.net.search,true,7.0.100-2018083010,81412,0,0
资讯,com.meizu.media.reader,false,4.8.1,487834,0,0
日历海外版,com.android.calendar,true,7.4.1-2018082919,141963,0,0
Flyme云服务海外版,com.meizu.mzsyncservice,true,7.8.2-2018082918,76759,0,0
应用商店海外版,com.xrom.intl.appcenter,true,5.2.120-2018082918,278564,0,0
魅族计步,com.meizu.net.pedometer,false,3.1.3,68893,28,8.0
应用商店,com.meizu.mstore,false,7.4.11,200920,191,27.5
picker,com.meizu.picker,false,1.5.20,236464,16,4.0
浏览器海外版,com.android.browser,true,7.2.110-2018082915,254764,0,0
桌面海外版,com.meizu.flyme.launcher,true,7.1.164-2018082915,78259,0,0
应用商店海外版,com.xrom.intl.appcenter,true,5.2.120-2018082915,278564,0,0
魅族商城,com.flyme.meizu.store,false,3.2.07,91087,0,0
电话海外版,com.android.dialer,true,4.5.2-2018082914,292852,0,0
电话海外版,com.android.dialer,true,3.3.4-2018082914,338855,0,0
视频,com.meizu.media.video,false,7.5.0,306759,43,6.0
电话海外版,com.android.dialer,true,3.3.4-2018082913,338855,0,0
电话设置,com.meizu.callsetting,false,7.2.21,38782,11,1.0
个人助理,com.meizu.assistant,false,1.9.3_dev,208010,0,0
电话海外版,com.android.dialer,true,4.5.2-2018082820,292849,0,0
电话海外版,com.android.dialer,true,3.3.4-2018082820,338852,0,0
桌面海外版,com.meizu.flyme.launcher,true,7.1.164-2018082818,78233,0,0
时钟海外版,com.android.alarmclock,true,7.3.8-2018082816,64649,0,0
主题美化海外版,com.meizu.customizecenter,true,7.1.0-2018082815,148618,0,0
换机助手海外版,com.meizu.datamigration,true,2.1.8-2018082811,74677,0,0
用户帮助,com.meizu.feedback,false,7.65.7,88223,4,0
远程协助,com.meizu.remotecooperation,false,4.29.10,78002,7,0
相机,com.meizu.media.camera,false,8.0.63,142586,0,0
WIFI管家,com.meizu.wifiadmin,false,7.0.9,68914,11,0
日历海外版,com.android.calendar,true,7.4.1-2018082718,141963,0,0
邮件海外版,com.android.email,true,2.11.14-2018082717,161344,0,0
邮件,com.android.email,false,2.11.14,161279,0,0
邮件海外版,com.android.email,true,3.2.16-2018082717,169193,0,0
